row_id,attacker_model,img1,img2,dataset,attack_type,source_csv,victim_model,attack_method,variant,similarity,source_column
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,GhostFaceNet,PGD,vanilla,0.0431709475815296,GhostFaceNet_PGD_adv
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,GhostFaceNet,SI_NI_FGSM,vanilla,0.0400549992918968,GhostFaceNet_SI_NI_FGSM_adv
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,GhostFaceNet,TI_FGSM,vanilla,0.0216131322085857,GhostFaceNet_TI_FGSM_adv
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,GhostFaceNet,clean,clean,0.0520271658897399,GhostFaceNet_clean
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,IR152,MI_ADMIX_DI_TI,vanilla,0.0138598131015896,IR152_MI_ADMIX_DI_TI_adv
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,IR152,MI_FGSM,vanilla,0.0339643731713295,IR152_MI_FGSM_adv
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,IR152,PGD,vanilla,0.0212341155856847,IR152_PGD_adv
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,IR152,SI_NI_FGSM,vanilla,0.0410934276878833,IR152_SI_NI_FGSM_adv
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,IR152,TI_FGSM,vanilla,0.0199491027742624,IR152_TI_FGSM_adv
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,IR152,clean,clean,-0.0336103551089763,IR152_clean
19,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000007_0012_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000008_0101_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,VGG-Face,clean,clean,0.056086029857397,VGG-Face_clean
21,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,ArcFace,MI_ADMIX_DI_TI,vanilla,0.3847067952156067,ArcFace_MI_ADMIX_DI_TI_adv
21,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,ArcFace,MI_FGSM,vanilla,0.3988268077373504,ArcFace_MI_FGSM_adv
21,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,ArcFace,PGD,vanilla,0.3425851464271545,ArcFace_PGD_adv
21,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,ArcFace,SI_NI_FGSM,vanilla,0.4127198159694671,ArcFace_SI_NI_FGSM_adv
21,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,ArcFace,TI_FGSM,vanilla,0.3835318088531494,ArcFace_TI_FGSM_adv
21,VGG-Face,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000012_0183_01.jpg,/content/face_module/dataset_extractedfaces/vggface2_pairs/n000014_0113_01.jpg,vggface2_pairs,impersonation_attack,/home/nadmin/Desktop/updatedattack/results/VGG-Face/transfer_attack_similarity_scores_all12_lambda020_limit1000.csv,ArcFace,clean,clean,0.1859162747859954,ArcFace_clean
